2832	2020-10-15 23:22:38.010	20.834	20.832	20.834	
2833	2020-10-15 23:22:39.011	20.834	20.8324	20.834	
2834	2020-10-15 23:22:40.014	20.834	20.8323	20.834	
2835	2020-10-15 23:22:41.016	20.834	20.8328	20.834	
2836	2020-10-15 23:22:42.031	20.834	20.8326	20.834	
2837	2020-10-15 23:22:43.046	20.834	20.8325	20.834	
2838	2020-10-15 23:22:44.049	20.834	20.8324	20.834	
2839	2020-10-15 23:22:45.049	20.834	20.8323	20.834	
2840	2020-10-15 23:22:46.050	20.834	20.8322	20.834	
2841	2020-10-15 23:22:47.054	20.834	20.8322	20.834	
2842	2020-10-15 23:22:48.056	20.834	20.8326	20.834	
2843	2020-10-15 23:22:49.058	20.834	20.8328	20.834	
2844	2020-10-15 23:22:50.062	20.834	20.8325	20.834	
2845	2020-10-15 23:22:51.064	20.834	20.8326	20.834	
2846	2020-10-15 23:22:52.065	20.834	20.8324	20.834	
2847	2020-10-15 23:22:53.068	20.834	20.8326	20.834	
2848	2020-10-15 23:22:54.069	20.834	20.833	20.834	
2849	2020-10-15 23:22:55.073	20.834	20.8338	20.834	
2850	2020-10-15 23:22:56.078	20.834	20.8336	20.834	
2851	2020-10-15 23:22:57.080	20.834	20.8333	20.834	
2852	2020-10-15 23:22:58.089	20.834	20.833	20.834	
2853	2020-10-15 23:22:59.087	20.834	20.8337	20.834	
2854	2020-10-15 23:23:00.089	20.834	20.8334	20.834	
2855	2020-10-15 23:23:01.090	20.834	20.8339	20.834	
2856	2020-10-15 23:23:02.091	20.834	20.8335	20.834	
2857	2020-10-15 23:23:03.095	20.834	20.8329	20.834	
2858	2020-10-15 23:23:04.108	20.834	20.8326	20.834	
2859	2020-10-15 23:23:05.110	20.834	20.8326	20.834	
2860	2020-10-15 23:23:06.114	20.834	20.8325	20.834	
2861	2020-10-15 23:23:07.116	20.834	20.8329	20.834	
2862	2020-10-15 23:23:08.117	20.834	20.8326	20.834	
2863	2020-10-15 23:23:09.121	20.834	20.8322	20.834	
2864	2020-10-15 23:23:10.122	20.834	20.8323	20.834	
2865	2020-10-15 23:23:11.123	20.834	20.8323	20.834	
2866	2020-10-15 23:23:12.127	20.834	20.8328	20.834	
2867	2020-10-15 23:23:13.130	20.834	20.8325	20.834	
2868	2020-10-15 23:23:14.130	20.834	20.832	20.834	
2869	2020-10-15 23:23:15.135	20.834	20.8323	20.834	
2870	2020-10-15 23:23:16.138	20.834	20.833	20.834	
2871	2020-10-15 23:23:17.153	20.834	20.8324	20.834	
2872	2020-10-15 23:23:18.155	20.834	20.8321	20.834	
2873	2020-10-15 23:23:19.159	20.834	20.8322	20.834	
2874	2020-10-15 23:23:20.173	20.834	20.8319	20.834	
2875	2020-10-15 23:23:21.188	20.834	20.8318	20.834	
2876	2020-10-15 23:23:22.190	20.834	20.8317	20.834	
2877	2020-10-15 23:23:23.190	20.834	20.8317	20.834	
2878	2020-10-15 23:23:24.191	20.834	20.8312	20.834	
2879	2020-10-15 23:23:25.194	20.834	20.831	20.834	
2880	2020-10-15 23:23:26.196	20.834	20.8308	20.834	
2881	2020-10-15 23:23:27.199	20.834	20.8309	20.834	
2882	2020-10-15 23:23:28.202	20.834	20.8308	20.834	
2883	2020-10-15 23:23:29.203	20.834	20.8309	20.834	
2884	2020-10-15 23:23:30.207	20.834	20.831	20.834	
2885	2020-10-15 23:23:31.211	20.834	20.831	20.834	
2886	2020-10-15 23:23:32.214	20.834	20.8307	20.834	
2887	2020-10-15 23:23:33.216	20.834	20.8311	20.834	
2888	2020-10-15 23:23:34.219	20.834	20.8316	20.834	
2889	2020-10-15 23:23:35.220	20.834	20.8309	20.834	
2890	2020-10-15 23:23:36.224	20.834	20.8308	20.834	
2891	2020-10-15 23:23:37.225	20.834	20.8303	20.834	
2892	2020-10-15 23:23:38.229	20.834	20.8302	20.834	
2893	2020-10-15 23:23:39.233	20.834	20.8306	20.834	
2894	2020-10-15 23:23:40.236	20.834	20.8307	20.834	
2895	2020-10-15 23:23:41.241	20.834	20.8301	20.834	
2896	2020-10-15 23:23:42.244	20.834	20.8293	20.834	
2897	2020-10-15 23:23:43.259	20.834	20.8289	20.834	
2898	2020-10-15 23:23:44.261	20.834	20.8286	20.834	
2899	2020-10-15 23:23:45.275	20.834	20.8282	20.834	
2900	2020-10-15 23:23:46.277	20.834	20.8289	20.834	
2901	2020-10-15 23:23:47.280	20.834	20.8283	20.834	
2902	2020-10-15 23:23:48.282	20.834	20.8283	20.834	
2903	2020-10-15 23:23:49.283	20.834	20.8284	20.834	
2904	2020-10-15 23:23:50.299	20.834	20.8277	20.834	
2905	2020-10-15 23:23:51.302	20.834	20.828	20.834	
2906	2020-10-15 23:23:52.302	20.834	20.8274	20.834	
2907	2020-10-15 23:23:53.307	20.834	20.8273	20.834	
2908	2020-10-15 23:23:54.310	20.834	20.8276	20.834	
2909	2020-10-15 23:23:55.311	20.834	20.8279	20.834	
2910	2020-10-15 23:23:56.313	20.834	20.8277	20.834	
2911	2020-10-15 23:23:57.317	20.834	20.8273	20.834	
2912	2020-10-15 23:23:58.319	20.834	20.8273	20.834	
2913	2020-10-15 23:23:59.322	20.834	20.8275	20.834	
2914	2020-10-15 23:24:00.327	20.834	20.8278	20.834	
2915	2020-10-15 23:24:01.329	20.834	20.8284	20.834	
2916	2020-10-15 23:24:02.343	20.834	20.8296	20.834	
2917	2020-10-15 23:24:03.349	20.834	20.8293	20.834	
2918	2020-10-15 23:24:04.351	20.834	20.8291	20.834	
2919	2020-10-15 23:24:05.352	20.834	20.8292	20.834	
2920	2020-10-15 23:24:06.356	20.834	20.8288	20.834	
2921	2020-10-15 23:24:07.358	20.834	20.8292	20.834	
2922	2020-10-15 23:24:08.360	20.834	20.8292	20.834	
2923	2020-10-15 23:24:09.365	20.834	20.8296	20.834	
2924	2020-10-15 23:24:10.368	20.834	20.8292	20.834	
2925	2020-10-15 23:24:11.371	20.834	20.8291	20.834	
2926	2020-10-15 23:24:12.373	20.834	20.8292	20.834	
2927	2020-10-15 23:24:13.375	20.834	20.8284	20.834	
2928	2020-10-15 23:24:14.377	20.834	20.8286	20.834	
2929	2020-10-15 23:24:15.379	20.834	20.8292	20.834	
2930	2020-10-15 23:24:16.381	20.834	20.8302	20.834	
2931	2020-10-15 23:24:17.384	20.834	20.8305	20.834	
2932	2020-10-15 23:24:18.388	20.834	20.8298	20.834	
2933	2020-10-15 23:24:19.391	20.834	20.83	20.834	
2934	2020-10-15 23:24:20.395	20.834	20.8297	20.834	
2935	2020-10-15 23:24:21.397	20.834	20.8297	20.834	
2936	2020-10-15 23:24:22.402	20.834	20.8298	20.834	
2937	2020-10-15 23:24:23.416	20.834	20.83	20.834	
2938	2020-10-15 23:24:24.417	20.834	20.8306	20.834	
2939	2020-10-15 23:24:25.419	20.834	20.8313	20.834	
2940	2020-10-15 23:24:26.422	20.834	20.8311	20.834	
2941	2020-10-15 23:24:27.437	20.834	20.831	20.834	
2942	2020-10-15 23:24:28.441	20.75	20.8313	20.8334	
2943	2020-10-15 23:24:29.442	20.75	20.8315	20.8326	
2944	2020-10-15 23:24:30.444	20.834	20.8317	20.8336	
2945	2020-10-15 23:24:31.447	20.834	20.8316	20.834	
2946	2020-10-15 23:24:32.448	20.834	20.8319	20.834	
2947	2020-10-15 23:24:33.450	20.834	20.8322	20.834	
2948	2020-10-15 23:24:34.454	20.834	20.8324	20.834	
2949	2020-10-15 23:24:35.457	20.834	20.8323	20.834	
2950	2020-10-15 23:24:36.458	20.834	20.8328	20.834	
2951	2020-10-15 23:24:37.473	20.834	20.8333	20.834	
2952	2020-10-15 23:24:38.478	20.834	20.834	20.834	
2953	2020-10-15 23:24:39.481	20.834	20.8349	20.834	
2954	2020-10-15 23:24:40.483	20.834	20.8348	20.834	
2955	2020-10-15 23:24:41.486	20.834	20.8345	20.834	
2956	2020-10-15 23:24:42.488	20.834	20.8346	20.834	
2957	2020-10-15 23:24:43.489	20.834	20.835	20.834	
2958	2020-10-15 23:24:44.492	20.834	20.8351	20.834	
2959	2020-10-15 23:24:45.494	20.834	20.8351	20.834	
2960	2020-10-15 23:24:46.495	20.834	20.8346	20.834	
2961	2020-10-15 23:24:47.511	20.834	20.8351	20.834	
2962	2020-10-15 23:24:48.514	20.834	20.8358	20.834	
2963	2020-10-15 23:24:49.529	20.834	20.8357	20.834	
2964	2020-10-15 23:24:50.532	20.834	20.8353	20.834	
2965	2020-10-15 23:24:51.531	20.834	20.8356	20.834	
2966	2020-10-15 23:24:52.533	20.834	20.8358	20.834	
2967	2020-10-15 23:24:53.536	20.834	20.8358	20.834	
2968	2020-10-15 23:24:54.539	20.834	20.8358	20.834	
2969	2020-10-15 23:24:55.542	20.834	20.8357	20.834	
2970	2020-10-15 23:24:56.546	20.834	20.836	20.834	
2971	2020-10-15 23:24:57.547	20.834	20.8362	20.834	
2972	2020-10-15 23:24:58.548	20.834	20.8362	20.834	
2973	2020-10-15 23:24:59.553	20.834	20.8364	20.834	
2974	2020-10-15 23:25:00.556	20.834	20.8365	20.834	
2975	2020-10-15 23:25:01.557	20.834	20.8365	20.834	
2976	2020-10-15 23:25:02.560	20.834	20.8372	20.834	
2977	2020-10-15 23:25:03.565	20.834	20.837	20.834	
2978	2020-10-15 23:25:04.566	20.834	20.8371	20.834	
2979	2020-10-15 23:25:05.570	20.834	20.8374	20.834	
2980	2020-10-15 23:25:06.575	20.834	20.8375	20.834	
2981	2020-10-15 23:25:07.575	20.834	20.838	20.834	
2982	2020-10-15 23:25:08.576	20.834	20.8374	20.834	
2983	2020-10-15 23:25:09.579	20.834	20.8373	20.834	
2984	2020-10-15 23:25:10.581	20.834	20.8378	20.834	
2985	2020-10-15 23:25:11.583	20.834	20.8377	20.834	
2986	2020-10-15 23:25:12.588	20.834	20.8382	20.834	
2987	2020-10-15 23:25:13.592	20.834	20.8386	20.834	
2988	2020-10-15 23:25:14.594	20.834	20.8389	20.834	
2989	2020-10-15 23:25:15.598	20.834	20.839	20.834	
2990	2020-10-15 23:25:16.603	20.834	20.839	20.834	
2991	2020-10-15 23:25:17.605	20.834	20.8389	20.834	
2992	2020-10-15 23:25:18.620	20.834	20.8397	20.834	
2993	2020-10-15 23:25:19.626	20.834	20.8396	20.834	
2994	2020-10-15 23:25:20.626	20.834	20.8397	20.834	
2995	2020-10-15 23:25:21.627	20.834	20.8399	20.834	
2996	2020-10-15 23:25:22.628	20.834	20.8392	20.834	
2997	2020-10-15 23:25:23.632	20.834	20.839	20.834	
2998	2020-10-15 23:25:24.633	20.834	20.8396	20.834	
2999	2020-10-15 23:25:25.637	20.834	20.839	20.834	
3000	2020-10-15 23:25:26.639	20.834	20.8394	20.834	
3001	2020-10-15 23:25:27.642	20.834	20.8395	20.834	
3002	2020-10-15 23:25:28.643	20.834	20.8391	20.834	
3003	2020-10-15 23:25:29.645	20.834	20.8393	20.834	
3004	2020-10-15 23:25:30.646	20.834	20.8397	20.834	
3005	2020-10-15 23:25:31.651	20.834	20.84	20.834	
3006	2020-10-15 23:25:32.655	20.834	20.8396	20.834	
3007	2020-10-15 23:25:33.658	20.834	20.8396	20.834	
3008	2020-10-15 23:25:34.660	20.834	20.84	20.834	
3009	2020-10-15 23:25:35.662	20.834	20.8402	20.834	
3010	2020-10-15 23:25:36.663	20.834	20.8405	20.834	
3011	2020-10-15 23:25:37.666	20.834	20.8409	20.834	
3012	2020-10-15 23:25:38.670	20.834	20.8411	20.834	
3013	2020-10-15 23:25:39.672	20.834	20.8405	20.834	
3014	2020-10-15 23:25:40.673	20.834	20.8409	20.834	
3015	2020-10-15 23:25:41.678	20.834	20.8416	20.834	
3016	2020-10-15 23:25:42.680	20.834	20.8417	20.834	
3017	2020-10-15 23:25:43.681	20.834	20.8409	20.834	
3018	2020-10-15 23:25:44.685	20.834	20.8405	20.834	
3019	2020-10-15 23:25:45.686	20.834	20.8401	20.834	
3020	2020-10-15 23:25:46.687	20.834	20.8407	20.834	
3021	2020-10-15 23:25:47.690	20.834	20.8405	20.834	
3022	2020-10-15 23:25:48.692	20.834	20.8402	20.834	
3023	2020-10-15 23:25:49.694	20.834	20.8393	20.834	
3024	2020-10-15 23:25:50.699	20.834	20.839	20.834	
3025	2020-10-15 23:25:51.701	20.834	20.8384	20.834	
3026	2020-10-15 23:25:52.704	20.834	20.8381	20.834	
3027	2020-10-15 23:25:53.729	20.834	20.8377	20.834	
3028	2020-10-15 23:25:54.738	20.834	20.8375	20.834	
3029	2020-10-15 23:25:55.753	20.834	20.8375	20.834	
3030	2020-10-15 23:25:56.772	20.834	20.8375	20.834	
3031	2020-10-15 23:25:57.772	20.834	20.8374	20.834	
3032	2020-10-15 23:25:58.787	20.834	20.8372	20.834	
3033	2020-10-15 23:25:59.789	20.834	20.8375	20.834	
3034	2020-10-15 23:26:00.791	20.834	20.8378	20.834	
3035	2020-10-15 23:26:01.795	20.834	20.8377	20.834	
3036	2020-10-15 23:26:02.796	20.834	20.8378	20.834	
3037	2020-10-15 23:26:03.799	20.834	20.8379	20.834	
3038	2020-10-15 23:26:04.803	20.834	20.838	20.834	
3039	2020-10-15 23:26:05.807	20.834	20.8379	20.834	
